  % [Joint: theta2, theta3, theta4, theta5]
  -0.36628,     0.12984,     0.32841,     -0.3011
  -0.42441,     0.15571,     0.43466,    -0.45809
  -0.38955,     0.18986,     0.48058,    -0.63598
  -0.42583,     0.21578,     0.56709,    -0.77268
  -0.43994,     0.21424,     0.57293,    -0.74265
  -0.41753,     0.21918,     0.55858,    -0.70304
    -0.394,     0.23453,     0.56583,    -0.68587
  -0.40961,     0.23253,     0.57017,    -0.67841
  -0.39174,     0.25009,     0.58595,    -0.66631
   -0.3735,     0.26849,     0.60311,    -0.65816
  -0.33624,     0.27546,      0.5821,     -0.6443
  -0.30144,     0.31026,     0.62089,    -0.63382
  -0.31789,      0.3111,     0.61917,    -0.61278
  -0.28486,     0.33907,     0.65672,    -0.59958
  -0.27303,     0.35219,     0.66656,    -0.58771
  -0.25141,     0.36148,     0.66357,    -0.56827
  -0.23609,     0.37339,     0.66996,    -0.54839
  -0.23306,     0.39836,     0.71105,     -0.5294
  -0.18224,     0.40892,     0.68743,    -0.51481
  -0.14685,     0.43685,     0.71404,    -0.50189
  -0.15068,     0.44863,     0.73508,    -0.47461
  -0.12825,     0.46772,     0.74601,    -0.45917
 -0.082345,     0.49033,     0.74925,    -0.43882
 -0.082164,     0.48891,     0.74104,    -0.41435
 -0.054093,     0.50891,     0.75353,    -0.39828
  -0.02253,     0.52315,     0.75037,    -0.37463
-0.0009247,     0.53476,     0.75155,    -0.34835
  0.033849,     0.55384,     0.75671,    -0.31665
  0.024099,     0.55304,     0.75581,    -0.27114
  0.053989,     0.55841,     0.73955,    -0.27536
  0.095147,     0.57349,     0.73342,    -0.24781
  0.094712,      0.5754,     0.72933,     -0.2112
   0.11112,     0.59115,     0.74288,    -0.16917
   0.14131,     0.60725,     0.74703,    -0.15141
   0.15753,     0.61019,     0.73481,    -0.12081
   0.17444,     0.61218,      0.7211,   -0.075594
   0.20518,      0.6049,     0.68065,   -0.067983
   0.24624,     0.66414,     0.75951,   -0.075627
    0.1993,     0.63421,     0.72666,    -0.13102
   0.23747,     0.69806,     0.81896,    -0.25821
